Date,Symbol,Series,Mkt Cap (₹ Crores),AVOL(20),ADR(20),Price_1D,Change_1W,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score
14-09-2025,NSE:BGRENERGY,BE,1239.88,6.91,5.33,233.3,10.08,48.03,54.86,62.86,75.28,79.52,45.35,53.64,50.25,75.82,80.86,1.9418769882445577,99
14-09-2025,NSE:NACLIND,BE,5595.46,2.41,5.25,252.45,-4.61,-16.76,27.55,73.30,74.97,77.62,-19.44,26.33,60.69,75.51,78.96,1.7635241278211133,99
14-09-2025,NSE:APOLLO,EQ,8738.55,299.01,7.54,322.35,5.48,41.78,39.81,63.74,69.46,68.45,39.1,38.59,51.13,70,69.79,1.661084706824284,99
14-09-2025,NSE:UNITEDPOLY,BE,732.84,1.37,0.28,36.34,9.36,-9.91,46.70,65.03,60.05,76.25,-12.59,45.48,52.42,60.59,77.59,1.6073720871185533,99
14-09-2025,NSE:IZMO,BE,1003.78,6.32,7.99,828.15,9.45,51.02,59.79,63.74,29.41,53.76,48.34,58.57,51.13,29.95,55.1,1.5682151513136784,99
14-09-2025,NSE:CUPID,EQ,4573.34,40.72,4.76,198.32,11.65,16.59,51.23,67.03,58.97,57.73,13.91,50.01,54.42,59.51,59.07,1.5374455997284353,99
14-09-2025,NSE:STALLION,EQ,1170.05,29.91,7.96,205.61,8.02,40.03,61.12,62.56,41.64,41.64,37.35,59.9,49.95,42.18,42.98,1.5175465857513835,99
14-09-2025,NSE:GABRIEL,EQ,16510.43,5.61,4.47,1231.3,2.40,13.46,50.40,59.10,57.72,58.58,10.78,49.18,46.49,58.26,59.92,1.4745479663924321,99
14-09-2025,NSE:KARNIKA,SM,251.71,1.16,7.31,186.65,-1.47,21.10,27.43,34.21,65.80,72.57,18.42,26.21,21.6,66.34,73.91,1.4691875141844453,99
14-09-2025,NSE:MEGASOFT,BE,984.09,1.98,5.5,157.28,9.03,23.38,37.07,60.47,54.75,64.79,20.7,35.85,47.86,55.29,66.13,1.4658181139559636,99
14-09-2025,NSE:SMLISUZU,EQ,6112.82,1.26,4.99,3736.5,-0.77,-5.38,48.16,68.66,57.34,45.98,-8.06,46.94,56.05,57.88,47.32,1.4593038284032425,99
14-09-2025,NSE:KCK,SM,279.85,3.1,7.48,39,-4.23,-8.72,0.00,76.33,70.18,-4.10,-11.4,-1.22,63.72,70.72,-2.76,1.4517113932852301,99
14-09-2025,NSE:QPOWER,EQ,6080.91,9,5.4,944.45,3.81,12.71,46.84,63.52,54.47,54.47,10.03,45.62,50.91,55.01,55.81,1.4516977137873535,99
14-09-2025,NSE:JSLL,EQ,8800.49,4.38,5.8,788.65,2.33,31.59,46.25,57.24,40.52,61.97,28.91,45.03,44.63,41.06,63.31,1.4409563633050977,99
14-09-2025,NSE:AXISCADES,BE,5312.21,1.05,5.54,1578.9,9.00,23.41,26.57,45.53,64.33,65.04,20.73,25.35,32.92,64.87,66.38,1.4307776711088027,99
14-09-2025,NSE:FORCEMOT,EQ,25349.02,1.18,5.37,18391,3.62,-2.87,27.40,58.92,63.77,59.26,-5.55,26.18,46.31,64.31,60.6,1.40954384399379,99
14-09-2025,NSE:TFCILTD,EQ,2782.49,14.71,3.43,364.3,5.01,21.21,40.34,60.02,52.43,51.41,18.53,39.12,47.41,52.97,52.75,1.4026284436083973,99
14-09-2025,NSE:BHARATSE,EQ,932.58,2.44,6.55,168.76,5.00,30.49,40.99,52.60,52.60,52.60,27.81,39.77,39.99,53.14,53.94,1.3964588056475185,99
14-09-2025,NSE:IXIGO,EQ,10536.99,37.5,5.52,308.85,5.20,18.36,39.30,58.18,53.33,50.02,15.68,38.08,45.57,53.87,51.36,1.3835150763108355,99
14-09-2025,NSE:KRISHANA,EQ,3558.8,1.8,4.05,553.25,-2.30,4.28,11.63,62.53,61.91,54.72,1.6,10.41,49.92,62.45,56.06,1.3786258361389576,98
14-09-2025,NSE:LOTUSEYE,EQ,241.34,3.23,8.94,120.81,-0.64,38.95,40.45,52.07,37.12,37.42,36.27,39.23,39.46,37.66,38.76,1.3346452230919639,98
14-09-2025,NSE:GARUDA,EQ,2019.01,24.94,6.9,203.49,0.37,15.98,40.77,49.28,50.44,48.40,13.3,39.55,36.67,50.98,49.74,1.3327215405177235,98
